uid,model,rater,label,llm_label
llama3.1-8b_383_1_6,llama3.1-8b,annotator1,0,0
llama3.1-8b_334_1_28,llama3.1-8b,annotator1,1,1
llama3.1-8b_310_3,llama3.1-8b,annotator1,1,1
llama3.1-8b_372_17,llama3.1-8b,annotator1,1,1
llama3.1-8b_373_1_27,llama3.1-8b,annotator1,1,1
llama3.1-8b_334_1_0,llama3.1-8b,annotator1,1,1
llama3.1-8b_303_3,llama3.1-8b,annotator1,1,1
llama3.1-8b_382_1_30,llama3.1-8b,annotator1,1,1
llama3.1-8b_377_1_18,llama3.1-8b,annotator1,1,1
llama3.1-8b_352_28,llama3.1-8b,annotator1,1,1
llama3.1-8b_373_1_22,llama3.1-8b,annotator1,1,1
llama3.1-8b_334_1_20,llama3.1-8b,annotator1,0,1
llama3.1-8b_388_1_19,llama3.1-8b,annotator1,1,1
llama3.1-8b_367_23,llama3.1-8b,annotator1,1,1
llama3.1-8b_373_1_2,llama3.1-8b,annotator1,0,0
llama3.1-8b_367_1_22,llama3.1-8b,annotator1,1,1
llama3.1-8b_309_1_20,llama3.1-8b,annotator1,1,1
llama3.1-8b_334_32,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_5,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_1_4,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_13,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_1_32,llama3.1-8b,annotator1,1,1
llama3.1-8b_303_1_30,llama3.1-8b,annotator1,1,1
llama3.1-8b_303_9,llama3.1-8b,annotator1,1,1
llama3.1-8b_367_19,llama3.1-8b,annotator1,1,1
llama3.1-8b_388_1_23,llama3.1-8b,annotator1,1,1
llama3.1-8b_367_34,llama3.1-8b,annotator1,1,1
llama3.1-8b_365_46,llama3.1-8b,annotator1,0,1
llama3.1-8b_365_1_22,llama3.1-8b,annotator1,1,1
llama3.1-8b_367_22,llama3.1-8b,annotator1,1,1
llama3.1-8b_382_1_37,llama3.1-8b,annotator1,1,1
llama3.1-8b_372_19,llama3.1-8b,annotator1,1,0
llama3.1-8b_388_0,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_1_87,llama3.1-8b,annotator1,1,1
llama3.1-8b_309_1_21,llama3.1-8b,annotator1,0,1
llama3.1-8b_388_1_24,llama3.1-8b,annotator1,0,0
llama3.1-8b_377_1_11,llama3.1-8b,annotator1,1,1
llama3.1-8b_382_1_15,llama3.1-8b,annotator1,1,1
llama3.1-8b_372_14,llama3.1-8b,annotator1,1,1
llama3.1-8b_352_15,llama3.1-8b,annotator1,1,1
llama3.1-8b_373_48,llama3.1-8b,annotator1,1,1
llama3.1-8b_372_1_11,llama3.1-8b,annotator1,1,1
llama3.1-8b_365_3,llama3.1-8b,annotator1,0,0
llama3.1-8b_351_12,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_40,llama3.1-8b,annotator1,0,0
llama3.1-8b_309_7,llama3.1-8b,annotator1,1,1
llama3.1-8b_383_1_53,llama3.1-8b,annotator1,1,1
llama3.1-8b_382_1_13,llama3.1-8b,annotator1,1,1
llama3.1-8b_377_1_5,llama3.1-8b,annotator1,1,1
llama3.1-8b_335_1_82,llama3.1-8b,annotator1,1,1
llama3.2-3b_335_95,llama3.2-3b,annotator1,0,0
llama3.2-3b_377_1_1,llama3.2-3b,annotator1,1,1
llama3.2-3b_373_1_23,llama3.2-3b,annotator1,0,1
llama3.2-3b_335_37,llama3.2-3b,annotator1,0,0
llama3.2-3b_365_18,llama3.2-3b,annotator1,1,1
llama3.2-3b_373_1_8,llama3.2-3b,annotator1,1,1
llama3.2-3b_335_12,llama3.2-3b,annotator1,0,1
llama3.2-3b_335_13,llama3.2-3b,annotator1,1,1
llama3.2-3b_367_3,llama3.2-3b,annotator1,1,1
llama3.2-3b_380_1_11,llama3.2-3b,annotator1,1,1
llama3.2-3b_308_1_0,llama3.2-3b,annotator1,1,1
llama3.2-3b_365_1_10,llama3.2-3b,annotator1,0,0
llama3.2-3b_367_13,llama3.2-3b,annotator1,1,1
llama3.2-3b_334_10,llama3.2-3b,annotator1,0,0
llama3.2-3b_382_24,llama3.2-3b,annotator1,0,1
llama3.2-3b_351_65,llama3.2-3b,annotator1,0,1
llama3.2-3b_335_84,llama3.2-3b,annotator1,0,0
llama3.2-3b_367_1_11,llama3.2-3b,annotator1,1,1
llama3.2-3b_382_7,llama3.2-3b,annotator1,1,1
llama3.2-3b_351_5,llama3.2-3b,annotator1,1,1
llama3.2-3b_309_0,llama3.2-3b,annotator1,0,1
llama3.2-3b_334_1_10,llama3.2-3b,annotator1,0,1
llama3.2-3b_373_1_38,llama3.2-3b,annotator1,0,0
llama3.2-3b_335_1_16,llama3.2-3b,annotator1,1,1
llama3.2-3b_335_45,llama3.2-3b,annotator1,0,0
llama3.2-3b_335_68,llama3.2-3b,annotator1,0,0
llama3.2-3b_351_69,llama3.2-3b,annotator1,0,1
llama3.2-3b_365_8,llama3.2-3b,annotator1,0,0
llama3.2-3b_377_27,llama3.2-3b,annotator1,1,1
llama3.2-3b_380_4,llama3.2-3b,annotator1,1,1
llama3.2-3b_377_10,llama3.2-3b,annotator1,1,1
llama3.2-3b_303_1,llama3.2-3b,annotator1,1,1
llama3.2-3b_382_26,llama3.2-3b,annotator1,1,1
llama3.2-3b_334_1_7,llama3.2-3b,annotator1,0,0
llama3.2-3b_303_4,llama3.2-3b,annotator1,1,1
llama3.2-3b_335_32,llama3.2-3b,annotator1,0,0
llama3.2-3b_351_64,llama3.2-3b,annotator1,1,1
llama3.2-3b_388_1_2,llama3.2-3b,annotator1,1,1
llama3.2-3b_365_29,llama3.2-3b,annotator1,0,1
llama3.2-3b_367_19,llama3.2-3b,annotator1,1,1
llama3.2-3b_372_2,llama3.2-3b,annotator1,1,1
llama3.2-3b_335_3,llama3.2-3b,annotator1,1,1
llama3.2-3b_377_1_24,llama3.2-3b,annotator1,0,0
llama3.2-3b_365_19,llama3.2-3b,annotator1,1,1
llama3.2-3b_352_1_9,llama3.2-3b,annotator1,0,0
llama3.2-3b_372_17,llama3.2-3b,annotator1,1,1
llama3.2-3b_388_10,llama3.2-3b,annotator1,1,1
llama3.2-3b_335_0,llama3.2-3b,annotator1,1,1
llama3.2-3b_372_15,llama3.2-3b,annotator1,0,1
llama3.2-3b_377_1_5,llama3.2-3b,annotator1,1,1
llama3.1-8b_383_1_6,llama3.1-8b,annotator2,0,0
llama3.1-8b_334_1_28,llama3.1-8b,annotator2,1,1
llama3.1-8b_310_3,llama3.1-8b,annotator2,1,1
llama3.1-8b_372_17,llama3.1-8b,annotator2,1,1
llama3.1-8b_373_1_27,llama3.1-8b,annotator2,1,1
llama3.1-8b_334_1_0,llama3.1-8b,annotator2,1,1
llama3.1-8b_303_3,llama3.1-8b,annotator2,1,1
llama3.1-8b_382_1_30,llama3.1-8b,annotator2,1,1
llama3.1-8b_377_1_18,llama3.1-8b,annotator2,1,1
llama3.1-8b_352_28,llama3.1-8b,annotator2,1,1
llama3.1-8b_373_1_22,llama3.1-8b,annotator2,0,1
llama3.1-8b_334_1_20,llama3.1-8b,annotator2,1,1
llama3.1-8b_388_1_19,llama3.1-8b,annotator2,1,1
llama3.1-8b_367_23,llama3.1-8b,annotator2,1,1
llama3.1-8b_373_1_2,llama3.1-8b,annotator2,0,0
llama3.1-8b_367_1_22,llama3.1-8b,annotator2,1,1
llama3.1-8b_309_1_20,llama3.1-8b,annotator2,0,1
llama3.1-8b_334_32,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_5,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_1_4,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_13,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_1_32,llama3.1-8b,annotator2,1,1
llama3.1-8b_303_1_30,llama3.1-8b,annotator2,1,1
llama3.1-8b_303_9,llama3.1-8b,annotator2,1,1
llama3.1-8b_367_19,llama3.1-8b,annotator2,1,1
llama3.1-8b_388_1_23,llama3.1-8b,annotator2,1,1
llama3.1-8b_367_34,llama3.1-8b,annotator2,1,1
llama3.1-8b_365_46,llama3.1-8b,annotator2,0,1
llama3.1-8b_365_1_22,llama3.1-8b,annotator2,1,1
llama3.1-8b_367_22,llama3.1-8b,annotator2,1,1
llama3.1-8b_382_1_37,llama3.1-8b,annotator2,1,1
llama3.1-8b_372_19,llama3.1-8b,annotator2,1,0
llama3.1-8b_388_0,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_1_87,llama3.1-8b,annotator2,1,1
llama3.1-8b_309_1_21,llama3.1-8b,annotator2,0,1
llama3.1-8b_388_1_24,llama3.1-8b,annotator2,0,0
llama3.1-8b_377_1_11,llama3.1-8b,annotator2,1,1
llama3.1-8b_382_1_15,llama3.1-8b,annotator2,1,1
llama3.1-8b_372_14,llama3.1-8b,annotator2,1,1
llama3.1-8b_352_15,llama3.1-8b,annotator2,1,1
llama3.1-8b_373_48,llama3.1-8b,annotator2,1,1
llama3.1-8b_372_1_11,llama3.1-8b,annotator2,1,1
llama3.1-8b_365_3,llama3.1-8b,annotator2,0,0
llama3.1-8b_351_12,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_40,llama3.1-8b,annotator2,0,0
llama3.1-8b_309_7,llama3.1-8b,annotator2,1,1
llama3.1-8b_383_1_53,llama3.1-8b,annotator2,1,1
llama3.1-8b_382_1_13,llama3.1-8b,annotator2,1,1
llama3.1-8b_377_1_5,llama3.1-8b,annotator2,1,1
llama3.1-8b_335_1_82,llama3.1-8b,annotator2,1,1
llama3.2-3b_335_95,llama3.2-3b,annotator2,0,0
llama3.2-3b_377_1_1,llama3.2-3b,annotator2,1,1
llama3.2-3b_373_1_23,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_37,llama3.2-3b,annotator2,0,0
llama3.2-3b_365_18,llama3.2-3b,annotator2,1,1
llama3.2-3b_373_1_8,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_12,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_13,llama3.2-3b,annotator2,1,1
llama3.2-3b_367_3,llama3.2-3b,annotator2,1,1
llama3.2-3b_380_1_11,llama3.2-3b,annotator2,1,1
llama3.2-3b_308_1_0,llama3.2-3b,annotator2,1,1
llama3.2-3b_365_1_10,llama3.2-3b,annotator2,0,0
llama3.2-3b_367_13,llama3.2-3b,annotator2,1,1
llama3.2-3b_334_10,llama3.2-3b,annotator2,0,0
llama3.2-3b_382_24,llama3.2-3b,annotator2,1,1
llama3.2-3b_351_65,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_84,llama3.2-3b,annotator2,0,0
llama3.2-3b_367_1_11,llama3.2-3b,annotator2,1,1
llama3.2-3b_382_7,llama3.2-3b,annotator2,1,1
llama3.2-3b_351_5,llama3.2-3b,annotator2,1,1
llama3.2-3b_309_0,llama3.2-3b,annotator2,1,1
llama3.2-3b_334_1_10,llama3.2-3b,annotator2,0,1
llama3.2-3b_373_1_38,llama3.2-3b,annotator2,1,0
llama3.2-3b_335_1_16,llama3.2-3b,annotator2,1,1
llama3.2-3b_335_45,llama3.2-3b,annotator2,0,0
llama3.2-3b_335_68,llama3.2-3b,annotator2,0,0
llama3.2-3b_351_69,llama3.2-3b,annotator2,1,1
