concept,component,selection_count
bas,bos_attention_proportion_per_head_layer_11_head_1,300
bas,bos_attention_proportion_per_head_layer_11_head_15,300
bas,bos_attention_proportion_per_head_layer_11_head_2,300
bas,bos_attention_proportion_per_head_layer_11_head_3,300
bas,bos_attention_proportion_per_head_layer_12_head_3,300
bas,bos_attention_proportion_per_head_layer_13_head_13,300
bas,bos_attention_proportion_per_head_layer_14_head_15,300
bas,bos_attention_proportion_per_head_layer_14_head_17,300
bas,bos_attention_proportion_per_head_layer_14_head_8,300
bas,bos_attention_proportion_per_head_layer_16_head_6,300
bas,bos_attention_proportion_per_head_layer_26_head_2,300
bas,bos_attention_proportion_per_head_layer_26_head_8,300
bas,bos_attention_proportion_per_head_layer_28_head_28,300
bas,bos_attention_proportion_per_head_layer_28_head_4,300
bas,bos_attention_proportion_per_head_layer_28_head_7,300
bas,bos_attention_proportion_per_head_layer_29_head_5,300
bas,bos_attention_proportion_per_head_layer_2_head_13,300
bas,bos_attention_proportion_per_head_layer_2_head_28,300
bas,bos_attention_proportion_per_head_layer_3_head_3,300
bas,bos_attention_proportion_per_head_layer_5_head_1,300
bas,bos_attention_proportion_per_head_layer_5_head_18,300
bas,bos_attention_proportion_per_head_layer_5_head_29,300
bas,bos_attention_proportion_per_head_layer_5_head_7,300
bas,bos_attention_proportion_per_head_layer_6_head_18,300
bas,bos_attention_proportion_per_head_layer_12_head_28,297
bas,bos_attention_proportion_per_head_layer_14_head_10,297
bas,bos_attention_proportion_per_head_layer_14_head_12,297
bas,bos_attention_proportion_per_head_layer_15_head_10,297
bas,bos_attention_proportion_per_head_layer_18_head_1,297
bas,bos_attention_proportion_per_head_layer_28_head_12,297
bas,bos_attention_proportion_per_head_layer_28_head_25,297
bas,bos_attention_proportion_per_head_layer_11_head_0,294
bas,bos_attention_proportion_per_head_layer_20_head_3,294
bas,bos_attention_proportion_per_head_layer_22_head_12,294
bas,bos_attention_proportion_per_head_layer_24_head_11,294
bas,bos_attention_proportion_per_head_layer_28_head_6,294
bas,bos_attention_proportion_per_head_layer_4_head_21,294
bas,bos_attention_proportion_per_head_layer_4_head_31,294
bas,bos_attention_proportion_per_head_layer_5_head_22,294
bas,bos_attention_proportion_per_head_layer_6_head_16,294
bas,bos_attention_proportion_per_head_layer_6_head_23,294
bas,bos_attention_proportion_per_head_layer_8_head_12,294
bas,bos_attention_proportion_per_head_layer_10_head_0,291
bas,bos_attention_proportion_per_head_layer_10_head_7,291
bas,bos_attention_proportion_per_head_layer_14_head_21,291
bas,bos_attention_proportion_per_head_layer_2_head_14,291
bas,bos_attention_proportion_per_head_layer_31_head_27,291
bas,bos_attention_proportion_per_head_layer_3_head_27,291
bas,bos_attention_proportion_per_head_layer_5_head_11,291
bas,bos_attention_proportion_per_head_layer_7_head_21,291
bas,bos_attention_proportion_per_head_layer_23_head_14,288
bas,bos_attention_proportion_per_head_layer_23_head_22,288
bas,bos_attention_proportion_per_head_layer_23_head_28,288
bas,bos_attention_proportion_per_head_layer_24_head_10,288
bas,bos_attention_proportion_per_head_layer_4_head_11,288
bas,bos_attention_proportion_per_head_layer_11_head_16,285
bas,bos_attention_proportion_per_head_layer_13_head_18,285
bas,bos_attention_proportion_per_head_layer_16_head_12,285
bas,bos_attention_proportion_per_head_layer_27_head_5,285
bas,bos_attention_proportion_per_head_layer_28_head_26,285
bas,bos_attention_proportion_per_head_layer_5_head_3,285
bas,bos_attention_proportion_per_head_layer_6_head_12,285
bas,bos_attention_proportion_per_head_layer_8_head_13,285
bas,bos_attention_proportion_per_head_layer_10_head_8,282
bas,bos_attention_proportion_per_head_layer_19_head_18,282
bas,bos_attention_proportion_per_head_layer_21_head_10,282
bas,bos_attention_proportion_per_head_layer_25_head_28,282
bas,bos_attention_proportion_per_head_layer_7_head_0,282
bas,bos_attention_proportion_per_head_layer_22_head_27,279
bas,bos_attention_proportion_per_head_layer_27_head_7,279
bas,bos_attention_proportion_per_head_layer_2_head_29,279
bas,bos_attention_proportion_per_head_layer_16_head_18,276
bas,bos_attention_proportion_per_head_layer_17_head_28,276
bas,bos_attention_proportion_per_head_layer_26_head_27,276
bas,bos_attention_proportion_per_head_layer_9_head_25,276
bas,bos_attention_proportion_per_head_layer_15_head_6,273
bas,bos_attention_proportion_per_head_layer_22_head_18,273
bas,bos_attention_proportion_per_head_layer_27_head_29,273
bas,bos_attention_proportion_per_head_layer_3_head_29,273
bas,bos_attention_proportion_per_head_layer_7_head_26,273
bas,bos_attention_proportion_per_head_layer_15_head_22,270
bas,bos_attention_proportion_per_head_layer_19_head_5,270
bas,bos_attention_proportion_per_head_layer_1_head_12,270
bas,bos_attention_proportion_per_head_layer_25_head_22,270
bas,bos_attention_proportion_per_head_layer_23_head_16,267
bas,bos_attention_proportion_per_head_layer_9_head_1,267
bas,bos_attention_proportion_per_head_layer_22_head_25,264
bas,bos_attention_proportion_per_head_layer_6_head_28,264
bas,bos_attention_proportion_per_head_layer_8_head_15,261
bas,bos_attention_proportion_per_head_layer_12_head_17,258
bas,bos_attention_proportion_per_head_layer_28_head_2,258
bas,bos_attention_proportion_per_head_layer_8_head_21,258
bas,bos_attention_proportion_per_head_layer_15_head_19,255
bas,bos_attention_proportion_per_head_layer_11_head_25,252
bas,bos_attention_proportion_per_head_layer_1_head_28,252
bas,bos_attention_proportion_per_head_layer_20_head_21,252
bas,bos_attention_proportion_per_head_layer_19_head_31,249
bas,bos_attention_proportion_per_head_layer_29_head_20,249
bas,bos_attention_proportion_per_head_layer_5_head_16,249
bas,bos_attention_proportion_per_head_layer_15_head_20,246
bas,bos_attention_proportion_per_head_layer_15_head_5,246
bas,bos_attention_proportion_per_head_layer_18_head_31,243
bas,bos_attention_proportion_per_head_layer_19_head_29,243
bas,bos_attention_proportion_per_head_layer_2_head_15,243
bas,bos_attention_proportion_per_head_layer_22_head_22,240
bas,bos_attention_proportion_per_head_layer_3_head_10,240
bas,bos_attention_proportion_per_head_layer_31_head_11,237
bas,bos_attention_proportion_per_head_layer_16_head_16,234
bas,bos_attention_proportion_per_head_layer_27_head_27,234
bas,bos_attention_proportion_per_head_layer_28_head_8,234
bas,bos_attention_proportion_per_head_layer_30_head_26,234
bas,bos_attention_proportion_per_head_layer_7_head_3,234
bas,bos_attention_proportion_per_head_layer_11_head_29,231
bas,bos_attention_proportion_per_head_layer_17_head_22,231
bas,bos_attention_proportion_per_head_layer_23_head_17,231
bas,bos_attention_proportion_per_head_layer_15_head_25,228
bas,bos_attention_proportion_per_head_layer_29_head_29,228
bas,bos_attention_proportion_per_head_layer_7_head_22,228
bas,bos_attention_proportion_per_head_layer_23_head_20,225
bas,bos_attention_proportion_per_head_layer_28_head_9,225
bas,bos_attention_proportion_per_head_layer_6_head_17,225
bas,bos_attention_proportion_per_head_layer_0_head_5,222
bas,bos_attention_proportion_per_head_layer_25_head_5,222
bas,bos_attention_proportion_per_head_layer_27_head_24,222
bas,bos_attention_proportion_per_head_layer_28_head_14,222
bas,bos_attention_proportion_per_head_layer_30_head_3,222
bas,bos_attention_proportion_per_head_layer_3_head_12,222
bas,bos_attention_proportion_per_head_layer_6_head_11,222
bas,bos_attention_proportion_per_head_layer_14_head_29,219
bas,bos_attention_proportion_per_head_layer_23_head_31,219
bas,bos_attention_proportion_per_head_layer_13_head_22,216
bas,bos_attention_proportion_per_head_layer_20_head_24,216
bas,bos_attention_proportion_per_head_layer_22_head_23,216
bas,bos_attention_proportion_per_head_layer_25_head_9,216
bas,bos_attention_proportion_per_head_layer_30_head_20,216
bas,bos_attention_proportion_per_head_layer_4_head_19,216
bas,bos_attention_proportion_per_head_layer_5_head_14,216
bas,bos_attention_proportion_per_head_layer_10_head_29,213
bas,bos_attention_proportion_per_head_layer_1_head_31,213
bas,bos_attention_proportion_per_head_layer_25_head_23,213
bas,bos_attention_proportion_per_head_layer_14_head_24,210
bas,bos_attention_proportion_per_head_layer_17_head_4,210
bas,bos_attention_proportion_per_head_layer_24_head_17,210
bas,bos_attention_proportion_per_head_layer_2_head_12,210
bas,bos_attention_proportion_per_head_layer_9_head_3,210
bas,bos_attention_proportion_per_head_layer_18_head_4,207
bas,bos_attention_proportion_per_head_layer_20_head_0,207
bas,bos_attention_proportion_per_head_layer_4_head_17,207
bas,bos_attention_proportion_per_head_layer_6_head_4,204
bas,bos_attention_proportion_per_head_layer_9_head_29,204
bas,bos_attention_proportion_per_head_layer_0_head_4,201
bas,bos_attention_proportion_per_head_layer_16_head_17,201
bas,bos_attention_proportion_per_head_layer_2_head_26,201
bas,bos_attention_proportion_per_head_layer_4_head_14,201
bas,bos_attention_proportion_per_head_layer_18_head_2,198
bas,bos_attention_proportion_per_head_layer_1_head_14,198
bas,bos_attention_proportion_per_head_layer_1_head_22,198
bas,bos_attention_proportion_per_head_layer_23_head_6,198
bas,bos_attention_proportion_per_head_layer_5_head_21,198
bas,bos_attention_proportion_per_head_layer_21_head_1,195
bas,bos_attention_proportion_per_head_layer_23_head_4,195
bas,bos_attention_proportion_per_head_layer_28_head_22,195
bas,bos_attention_proportion_per_head_layer_1_head_17,192
bas,bos_attention_proportion_per_head_layer_11_head_20,189
bas,bos_attention_proportion_per_head_layer_12_head_23,189
bas,bos_attention_proportion_per_head_layer_19_head_11,189
bas,bos_attention_proportion_per_head_layer_27_head_19,189
bas,bos_attention_proportion_per_head_layer_9_head_17,189
bas,bos_attention_proportion_per_head_layer_14_head_14,186
bas,bos_attention_proportion_per_head_layer_5_head_13,186
bas,bos_attention_proportion_per_head_layer_26_head_1,183
bas,bos_attention_proportion_per_head_layer_28_head_29,183
bas,bos_attention_proportion_per_head_layer_5_head_17,183
bas,bos_attention_proportion_per_head_layer_7_head_6,183
bas,bos_attention_proportion_per_head_layer_25_head_4,180
bas,bos_attention_proportion_per_head_layer_2_head_31,180
bas,bos_attention_proportion_per_head_layer_18_head_20,177
bas,bos_attention_proportion_per_head_layer_21_head_3,177
bas,bos_attention_proportion_per_head_layer_29_head_21,177
bas,bos_attention_proportion_per_head_layer_0_head_31,174
bas,bos_attention_proportion_per_head_layer_12_head_31,174
bas,bos_attention_proportion_per_head_layer_14_head_6,174
bas,bos_attention_proportion_per_head_layer_17_head_27,174
bas,bos_attention_proportion_per_head_layer_20_head_23,174
bas,bos_attention_proportion_per_head_layer_26_head_18,174
bas,bos_attention_proportion_per_head_layer_23_head_5,171
bas,bos_attention_proportion_per_head_layer_29_head_0,171
bas,bos_attention_proportion_per_head_layer_29_head_4,171
bas,bos_attention_proportion_per_head_layer_13_head_24,168
bas,bos_attention_proportion_per_head_layer_19_head_2,168
bas,bos_attention_proportion_per_head_layer_1_head_19,168
bas,bos_attention_proportion_per_head_layer_22_head_15,168
bas,bos_attention_proportion_per_head_layer_6_head_19,168
bas,bos_attention_proportion_per_head_layer_11_head_10,165
bas,bos_attention_proportion_per_head_layer_13_head_27,165
bas,bos_attention_proportion_per_head_layer_22_head_16,165
bas,bos_attention_proportion_per_head_layer_25_head_31,165
bas,bos_attention_proportion_per_head_layer_27_head_9,165
bas,bos_attention_proportion_per_head_layer_4_head_29,165
bas,bos_attention_proportion_per_head_layer_14_head_18,162
bas,bos_attention_proportion_per_head_layer_0_head_3,159
bas,bos_attention_proportion_per_head_layer_16_head_24,159
bas,bos_attention_proportion_per_head_layer_18_head_24,159
bas,bos_attention_proportion_per_head_layer_21_head_9,159
bas,bos_attention_proportion_per_head_layer_23_head_12,159
bas,bos_attention_proportion_per_head_layer_26_head_9,159
bas,bos_attention_proportion_per_head_layer_29_head_24,159
bas,bos_attention_proportion_per_head_layer_0_head_7,156
bas,bos_attention_proportion_per_head_layer_13_head_6,156
bas,bos_attention_proportion_per_head_layer_16_head_28,156
bas,bos_attention_proportion_per_head_layer_23_head_19,156
bas,bos_attention_proportion_per_head_layer_5_head_4,156
bas,bos_attention_proportion_per_head_layer_25_head_10,153
bas,bos_attention_proportion_per_head_layer_27_head_31,153
bas,bos_attention_proportion_per_head_layer_3_head_2,153
bas,bos_attention_proportion_per_head_layer_7_head_12,153
bas,bos_attention_proportion_per_head_layer_12_head_25,150
bas,bos_attention_proportion_per_head_layer_13_head_11,150
bas,bos_attention_proportion_per_head_layer_14_head_28,150
bas,bos_attention_proportion_per_head_layer_5_head_31,150
bas,bos_attention_proportion_per_head_layer_7_head_25,150
bas,bos_attention_proportion_per_head_layer_11_head_14,147
bas,bos_attention_proportion_per_head_layer_15_head_21,147
bas,bos_attention_proportion_per_head_layer_1_head_16,147
bas,bos_attention_proportion_per_head_layer_1_head_29,147
bas,bos_attention_proportion_per_head_layer_27_head_21,147
bas,bos_attention_proportion_per_head_layer_31_head_23,147
bas,bos_attention_proportion_per_head_layer_12_head_29,144
bas,bos_attention_proportion_per_head_layer_16_head_3,144
bas,bos_attention_proportion_per_head_layer_20_head_1,144
bas,bos_attention_proportion_per_head_layer_21_head_11,144
bas,bos_attention_proportion_per_head_layer_29_head_1,144
bas,bos_attention_proportion_per_head_layer_2_head_3,144
bas,bos_attention_proportion_per_head_layer_30_head_28,144
bas,bos_attention_proportion_per_head_layer_31_head_1,144
bas,bos_attention_proportion_per_head_layer_8_head_25,144
bas,bos_attention_proportion_per_head_layer_9_head_16,144
bas,bos_attention_proportion_per_head_layer_16_head_13,141
bas,bos_attention_proportion_per_head_layer_18_head_22,141
bas,bos_attention_proportion_per_head_layer_19_head_27,141
bas,bos_attention_proportion_per_head_layer_2_head_7,141
bas,bos_attention_proportion_per_head_layer_30_head_25,141
bas,bos_attention_proportion_per_head_layer_7_head_1,141
bas,bos_attention_proportion_per_head_layer_8_head_5,141
bas,bos_attention_proportion_per_head_layer_0_head_6,138
bas,bos_attention_proportion_per_head_layer_12_head_12,138
bas,bos_attention_proportion_per_head_layer_29_head_22,138
bas,bos_attention_proportion_per_head_layer_7_head_15,138
bas,bos_attention_proportion_per_head_layer_7_head_9,138
bas,bos_attention_proportion_per_head_layer_13_head_7,135
bas,bos_attention_proportion_per_head_layer_6_head_29,135
bas,bos_attention_proportion_per_head_layer_8_head_16,135
bas,bos_attention_proportion_per_head_layer_0_head_0,132
bas,bos_attention_proportion_per_head_layer_11_head_28,132
bas,bos_attention_proportion_per_head_layer_11_head_9,132
bas,bos_attention_proportion_per_head_layer_27_head_4,132
bas,bos_attention_proportion_per_head_layer_6_head_24,132
bas,bos_attention_proportion_per_head_layer_9_head_21,132
bas,bos_attention_proportion_per_head_layer_0_head_24,129
bas,bos_attention_proportion_per_head_layer_17_head_13,129
bas,bos_attention_proportion_per_head_layer_19_head_17,129
bas,bos_attention_proportion_per_head_layer_24_head_14,129
bas,bos_attention_proportion_per_head_layer_29_head_26,129
bas,bos_attention_proportion_per_head_layer_8_head_3,129
bas,bos_attention_proportion_per_head_layer_10_head_20,126
bas,bos_attention_proportion_per_head_layer_10_head_22,126
bas,bos_attention_proportion_per_head_layer_14_head_9,126
bas,bos_attention_proportion_per_head_layer_15_head_27,126
bas,bos_attention_proportion_per_head_layer_21_head_21,126
bas,bos_attention_proportion_per_head_layer_3_head_24,126
bas,bos_attention_proportion_per_head_layer_4_head_20,126
bas,bos_attention_proportion_per_head_layer_19_head_0,123
bas,bos_attention_proportion_per_head_layer_23_head_8,123
bas,bos_attention_proportion_per_head_layer_0_head_11,120
bas,bos_attention_proportion_per_head_layer_18_head_28,120
bas,bos_attention_proportion_per_head_layer_24_head_8,120
bas,bos_attention_proportion_per_head_layer_25_head_1,120
bas,bos_attention_proportion_per_head_layer_26_head_11,120
bas,bos_attention_proportion_per_head_layer_28_head_24,120
bas,bos_attention_proportion_per_head_layer_3_head_9,120
bas,bos_attention_proportion_per_head_layer_26_head_4,117
bas,bos_attention_proportion_per_head_layer_6_head_7,117
bas,bos_attention_proportion_per_head_layer_11_head_13,114
bas,bos_attention_proportion_per_head_layer_14_head_30,114
bas,bos_attention_proportion_per_head_layer_18_head_13,114
bas,bos_attention_proportion_per_head_layer_25_head_26,114
bas,bos_attention_proportion_per_head_layer_26_head_10,114
bas,bos_attention_proportion_per_head_layer_27_head_20,114
bas,bos_attention_proportion_per_head_layer_25_head_21,111
bas,bos_attention_proportion_per_head_layer_26_head_22,111
bas,bos_attention_proportion_per_head_layer_6_head_31,111
bas,bos_attention_proportion_per_head_layer_14_head_19,108
bas,bos_attention_proportion_per_head_layer_15_head_14,108
bas,bos_attention_proportion_per_head_layer_17_head_8,108
bas,bos_attention_proportion_per_head_layer_20_head_7,108
bas,bos_attention_proportion_per_head_layer_2_head_27,108
bas,bos_attention_proportion_per_head_layer_5_head_26,108
bas,bos_attention_proportion_per_head_layer_8_head_26,108
bas,bos_attention_proportion_per_head_layer_9_head_19,108
bas,bos_attention_proportion_per_head_layer_10_head_3,105
bas,bos_attention_proportion_per_head_layer_12_head_5,105
bas,bos_attention_proportion_per_head_layer_17_head_21,105
bas,bos_attention_proportion_per_head_layer_21_head_27,105
bas,bos_attention_proportion_per_head_layer_23_head_10,105
bas,bos_attention_proportion_per_head_layer_2_head_21,105
bas,bos_attention_proportion_per_head_layer_10_head_12,102
bas,bos_attention_proportion_per_head_layer_16_head_15,102
bas,bos_attention_proportion_per_head_layer_3_head_13,102
