component_name,correlation_r,abs_correlation,p_value
bos_attention_proportion_per_head_layer_28_head_7,-0.30661,0.30661,0.00000
bos_attention_proportion_per_head_layer_14_head_8,0.28639,0.28639,0.00000
cos_sim_pre_post_ffn_per_layer_layer_14,0.28319,0.28319,0.00000
bos_attention_proportion_per_head_layer_28_head_4,-0.28310,0.28310,0.00000
cos_sim_input_pre_ffn_per_layer_layer_13,0.28134,0.28134,0.00000
v_attn_norm_per_layer_layer_13,-0.27609,0.27609,0.00000
cos_sim_input_post_ffn_per_layer_layer_13,0.27000,0.27000,0.00000
cos_sim_input_post_ffn_per_layer_layer_14,0.26861,0.26861,0.00000
v_attn_norm_per_layer_layer_21,-0.26652,0.26652,0.00000
bos_attention_proportion_per_head_layer_5_head_1,0.26536,0.26536,0.00000
cos_sim_input_post_ffn_per_layer_layer_15,0.25725,0.25725,0.00000
bos_attention_proportion_per_head_layer_5_head_7,0.25102,0.25102,0.00000
cas_vs_current_layer_per_head_layer_27_head_10,0.25079,0.25079,0.00000
bos_attention_proportion_per_head_layer_13_head_18,0.24975,0.24975,0.00000
cos_sim_input_pre_ffn_per_layer_layer_21,0.24836,0.24836,0.00000
bos_attention_proportion_per_head_layer_12_head_3,-0.24153,0.24153,0.00000
v_ffn_norm_per_layer_layer_14,-0.24061,0.24061,0.00000
bos_attention_proportion_per_head_layer_28_head_28,-0.24051,0.24051,0.00000
cos_sim_pre_post_ffn_per_layer_layer_29,0.23795,0.23795,0.00000
cos_sim_input_pre_ffn_per_layer_layer_17,0.23561,0.23561,0.00000
bos_attention_proportion_per_head_layer_13_head_13,0.23230,0.23230,0.00000
bos_attention_proportion_per_head_layer_14_head_17,-0.23226,0.23226,0.00000
ecs_specific_layer_per_head_layer_29_head_7,0.23085,0.23085,0.00000
cas_vs_current_layer_per_head_layer_27_head_29,0.23035,0.23035,0.00001
bos_attention_proportion_per_head_layer_14_head_15,0.22890,0.22890,0.00001
attention_entropy_per_head_layer_6_head_3,-0.22846,0.22846,0.00001
cos_sim_input_post_ffn_per_layer_layer_21,0.22827,0.22827,0.00001
cas_vs_current_layer_per_head_layer_29_head_26,0.22767,0.22767,0.00001
ecs_prompt_specific_layer_per_head_layer_29_head_27,0.22650,0.22650,0.00001
cas_vs_current_layer_per_head_layer_29_head_8,0.22582,0.22582,0.00001
parameter_knowledge_difference_layer_11,-0.22573,0.22573,0.00001
bos_attention_proportion_per_head_layer_26_head_2,-0.22564,0.22564,0.00001
ecs_prompt_specific_layer_per_head_layer_27_head_10,0.22515,0.22515,0.00001
ecs_specific_layer_per_head_layer_29_head_2,0.22487,0.22487,0.00001
parameter_knowledge_difference_layer_14,-0.22471,0.22471,0.00001
ecs_specific_layer_per_head_layer_29_head_27,0.22445,0.22445,0.00001
bos_attention_proportion_per_head_layer_29_head_5,-0.22420,0.22420,0.00001
v_ffn_norm_per_layer_layer_13,-0.22355,0.22355,0.00001
cas_vs_current_layer_per_head_layer_29_head_23,0.22226,0.22226,0.00001
cos_sim_input_post_ffn_per_layer_layer_17,0.22173,0.22173,0.00001
cos_sim_pre_post_ffn_per_layer_layer_13,0.22161,0.22161,0.00001
ecs_prompt_specific_layer_per_head_layer_29_head_26,0.22115,0.22115,0.00001
ecs_specific_layer_per_head_layer_29_head_26,0.22035,0.22035,0.00001
v_attn_norm_per_layer_layer_17,-0.22018,0.22018,0.00001
cas_vs_current_layer_per_head_layer_29_head_7,0.22014,0.22014,0.00001
cas_vs_current_layer_per_head_layer_27_head_11,0.22006,0.22006,0.00001
cos_sim_input_pre_ffn_per_layer_layer_15,0.21941,0.21941,0.00001
cas_vs_current_layer_per_head_layer_29_head_2,0.21932,0.21932,0.00001
bos_attention_proportion_per_head_layer_25_head_28,-0.21910,0.21910,0.00001
ecs_specific_layer_per_head_layer_26_head_17,0.21888,0.21888,0.00002
ecs_prompt_specific_layer_per_head_layer_29_head_25,0.21878,0.21878,0.00002
ecs_prompt_specific_layer_per_head_layer_29_head_24,0.21765,0.21765,0.00002
bos_attention_proportion_per_head_layer_24_head_10,-0.21742,0.21742,0.00002
ecs_specific_layer_per_head_layer_29_head_5,0.21682,0.21682,0.00002
ecs_specific_layer_per_head_layer_29_head_4,0.21619,0.21619,0.00002
